t,request_id,work_units,mem_mb
48,r0403,59,556
48,r0495,44,334
49,r0017,60,1406
49,r0221,121,139
49,r0236,87,432
49,r0255,144,291
49,r0474,174,1157
49,r0492,4,647
50,r0253,81,1380
50,r0301,130,986
50,r0342,89,349
50,r0400,136,310
51,r0105,107,244
51,r0142,182,1361
51,r0460,118,1207
52,r0449,36,1341
53,r0011,88,1089
53,r0130,70,491
53,r0204,14,861
53,r0218,48,1410
53,r0297,64,377
53,r0322,150,680
53,r0406,158,82
53,r0419,105,355
53,r0423,143,1135
54,r0096,176,271
54,r0117,144,1323
54,r0367,132,721
55,r0137,45,314
55,r0235,103,950
55,r0244,71,1359
55,r0305,35,591
55,r0497,71,912
56,r0076,114,533
56,r0097,19,215
56,r0248,9,308
56,r0260,23,1446
56,r0290,107,1041
56,r0329,81,907
56,r0344,168,575
57,r0014,138,1041
57,r0167,27,753
57,r0251,95,811
57,r0489,143,1186
58,r0022,4,345
58,r0042,78,457
58,r0229,10,650
58,r0289,19,1460
58,r0445,44,771
58,r0451,96,173
59,r0039,74,1437
59,r0059,20,338
59,r0163,149,1185
59,r0267,142,315
59,r0402,173,1165
59,r0422,15,1201
60,r0018,181,830
60,r0166,129,358
60,r0353,123,1382
60,r0379,194,1150
60,r0394,9,637
60,r0464,15,1112
61,r0043,28,535
61,r0288,63,1452
61,r0369,83,1221
62,r0002,32,109
62,r0258,52,301
62,r0444,186,1364
63,r0215,153,1288
63,r0237,95,1113
63,r0303,153,1389
63,r0417,13,755
64,r0093,57,1426
64,r0101,155,931
64,r0114,55,366
64,r0319,131,1140
65,r0231,102,1162
65,r0387,115,163
65,r0388,107,985
66,r0200,32,633
66,r0332,54,1198
66,r0414,57,896
67,r0124,56,820
67,r0170,134,1298
67,r0219,93,188
67,r0326,162,1319
68,r0026,98,698
68,r0356,190,126
68,r0435,167,785
68,r0455,74,85
69,r0220,130,1089
69,r0287,75,1364
69,r0393,16,191
69,r0447,165,170
70,r0015,196,1162
70,r0262,139,644
70,r0279,71,306
70,r0434,83,629
70,r0481,97,934
71,r0061,94,234
71,r0066,84,1299
71,r0346,179,606
71,r0389,119,1427
71,r0429,56,1031
72,r0122,169,870
72,r0155,195,1236
72,r0156,165,1351
72,r0250,9,1289
72,r0283,11,108
72,r0307,144,448
72,r0320,77,1022
72,r0470,169,117
73,r0165,167,435
73,r0195,113,995
73,r0216,62,344
73,r0298,185,690
73,r0328,180,275
73,r0341,174,1162
74,r0013,169,1052
74,r0037,37,525
74,r0440,149,905
74,r0482,170,828
75,r0110,144,1200
76,r0085,1,617
76,r0113,80,770
76,r0134,15,65
76,r0179,182,223
76,r0381,21,1126
76,r0412,198,1427
76,r0479,102,1164
77,r0003,62,374
77,r0176,39,732
77,r0239,47,1167
77,r0316,132,336
77,r0360,28,736
77,r0378,96,901
78,r0257,74,1471
78,r0280,137,241
78,r0317,82,382
78,r0318,190,662
78,r0331,121,177
78,r0347,190,1251
78,r0500,51,987
79,r0214,118,178
79,r0310,175,1301
79,r0483,76,554
80,r0173,166,735
80,r0224,27,1241
81,r0099,150,1173
81,r0149,30,1136
81,r0286,8,1069
82,r0052,11,682
82,r0078,92,174
82,r0118,143,103
82,r0151,38,533
82,r0284,198,1231
82,r0361,140,1123
82,r0364,66,1197
82,r0396,108,816
83,r0023,40,203
83,r0025,21,722
83,r0074,26,1052
83,r0178,179,1406
83,r0207,86,349
84,r0019,167,361
84,r0094,134,667
84,r0119,178,1164
84,r0129,109,1044
84,r0177,37,766
84,r0282,160,1289
84,r0333,123,1126
85,r0133,79,143
85,r0139,91,197
85,r0181,180,1453
85,r0368,25,428
85,r0418,98,1124
85,r0452,158,1039
86,r0132,174,1264
86,r0408,181,149
86,r0427,155,1062
87,r0227,119,1474
87,r0272,133,755
87,r0374,129,1490
87,r0398,170,1154
87,r0443,87,577
88,r0330,53,890
88,r0336,68,1299
88,r0339,181,1051
88,r0375,31,1358
88,r0468,146,1023
88,r0476,186,210
89,r0102,30,1390
89,r0120,196,682
89,r0456,173,931
89,r0461,58,664
90,r0138,59,1074
90,r0382,93,209
90,r0433,53,862
90,r0450,39,68
91,r0269,185,1030
91,r0292,82,757
91,r0350,121,255
92,r0323,177,1267
92,r0325,14,1245
92,r0390,6,860
92,r0405,196,1363
92,r0426,49,155
92,r0437,121,705
92,r0446,140,1050
94,r0109,96,316
94,r0123,163,112
94,r0140,11,1496
94,r0164,11,971
94,r0187,135,127
95,r0072,179,1156
95,r0073,187,366
95,r0091,17,1025
95,r0193,115,529
95,r0359,75,1315
96,r0112,109,155
96,r0432,123,546
96,r0472,183,865
96,r0475,190,336
97,r0027,125,1060
97,r0083,142,474
97,r0153,195,1392
97,r0209,181,1010
97,r0306,104,1051
97,r0309,141,622
98,r0103,142,490
98,r0154,161,1061
98,r0188,159,318
98,r0190,160,389
98,r0270,105,1227
98,r0274,34,936
98,r0355,23,1385
98,r0395,35,1363
99,r0150,90,769
99,r0196,98,1079
99,r0249,166,800
99,r0273,142,1360
99,r0493,22,1195
100,r0186,26,1089
100,r0480,116,1054
100,r0485,163,365
100,r0498,20,789
